timestamp,db,scale,query_name,run_index,elapsed_ms,row_count
2025-11-08T15:55:18.387653,pg,10,count_1day,1,12.211,1
2025-11-08T15:55:19.358826,pg,10,count_1day,2,5.900,1
2025-11-08T15:55:20.660357,pg,10,count_1day,3,3.419,1
2025-11-08T15:55:21.883242,pg,10,count_1day,4,6.386,1
2025-11-08T15:55:22.846434,pg,10,count_1day,5,5.507,1
2025-11-08T15:55:23.728550,pg,10,count_1day,6,6.919,1
2025-11-08T15:55:24.858033,pg,10,count_1day,7,4.848,1
2025-11-08T15:55:26.935719,pg,10,count_1day,8,4.659,1
2025-11-08T15:55:28.887464,pg,10,count_1day,9,4.948,1
2025-11-08T15:55:31.186424,pg,10,count_1day,10,4.973,1
